"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"nqx - probability of dying between ages x and x+n"," 10-14 years","0.000969999","0.001208946","0.000691484","0.001071116","0.001377028","0.000718218","0.001230055","0.001545242","0.000873184","0.001465692","0.0018495","0.001039327","0.001779657","0.001972862","0.00157262"
"nqx - probability of dying between ages x and x+n"," 15-19  years","0.00179698","0.002406769","0.001095929","0.001907971","0.002533734","0.001199175","0.002308465","0.003030781","0.001506309","0.002918559","0.003897645","0.001869409","0.0032967","0.004344345","0.002184419"
"nqx - probability of dying between ages x and x+n"," 20-24 years","0.002810805","0.003951378","0.001523131","0.002727594","0.003740335","0.001603012","0.003375185","0.004615886","0.002047291","0.003725921","0.004984898","0.002391844","0.004614631","0.005380487","0.003803847"
"nqx - probability of dying between ages x and x+n"," 25-29 years","0.003052746","0.004366614","0.00160777","0.003236172","0.004665366","0.001708925","0.003854129","0.005222782","0.002408215","0.003975101","0.005344189","0.002528715","0.005391072","0.005662833","0.005104513"
"nqx - probability of dying between ages x and x+n"," 30-34 years","0.004239707","0.006103028","0.002258892","0.004336102","0.006185772","0.002385255","0.005378111","0.00749436","0.00314843","0.005715547","0.007622486","0.003707566","0.007531537","0.008104046","0.006937792"
"nqx - probability of dying between ages x and x+n"," 35-39 years","0.006187994","0.008828676","0.003409885","0.006053719","0.0084137","0.003572226","0.007149929","0.009895465","0.004266205","0.008938327","0.011908428","0.005860976","0.00986114","0.012407445","0.007183134"
"nqx - probability of dying between ages x and x+n"," 40-44 years","0.009315495","0.013058359","0.005383936","0.009459228","0.013094022","0.005648594","0.011154748","0.015362627","0.006804779","0.013095605","0.017335101","0.008645656","0.014217765","0.018124187","0.010098064"
"nqx - probability of dying between ages x and x+n"," 45-49 years","0.012327216","0.016950764","0.007506399","0.013906734","0.019712558","0.007918495","0.016635844","0.022546297","0.010445546","0.017243233","0.022436973","0.011780039","0.020911274","0.024447941","0.017202567"
"nqx - probability of dying between ages x and x+n"," 50-54 years","0.01956602","0.026291752","0.012663756","0.020538388","0.027596133","0.013188623","0.023011645","0.030570835","0.015086697","0.029859396","0.037603702","0.021744835","0.031766296","0.039524132","0.023614357"
"nqx - probability of dying between ages x and x+n"," 55-59 years","0.030500498","0.040307703","0.020346459","0.032509818","0.043245898","0.021351568","0.036237804","0.047142049","0.024894898","0.045818717","0.057680657","0.033421274","0.045890296","0.060403728","0.029897142"
